Date,Item Name,Sales,DayOfWeek,IsWeekend,isPublicHoliday,isSchoolHoliday,Usage,End Stock,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
2024-12-15,BUN REGULAR,19129.57,6,1,0,0,482,,,,,,
2024-12-15,BUN 4 INCH,19129.57,6,1,0,0,265,,,,,,
2024-12-15,BUN GOURMET,19129.57,6,1,0,0,29,,,,,,
2024-12-15,BUN BIG MAC,19129.57,6,1,0,0,-4,,,,,,
2024-12-17,BUN GOURMET,18416.02,1,0,0,0,29,,,,,,
2024-12-17,BUN BIG MAC,18416.02,1,0,0,0,121,,,,,,
2024-12-17,BUN 4 INCH,18416.02,1,0,0,0,350,,,,,,
2024-12-17,BUN REGULAR,18416.02,1,0,0,0,478,,,,,,
2024-12-17,BUN MCCRISPY,18416.02,1,0,0,0,28,,,,,,
2024-12-17,MUFFIN ENGLISH,18416.02,1,0,0,0,185,,,,,,
2024-12-18,MUFFIN ENGLISH,18586.08,2,0,0,0,355,,,,,,
2024-12-18,BUN MCCRISPY,18586.08,2,0,0,0,43,,,,,,
2024-12-18,BUN REGULAR,18586.08,2,0,0,0,453,,,,,,
2024-12-18,BUN 4 INCH,18586.08,2,0,0,0,230,,,,,,
2024-12-18,BUN GOURMET,18586.08,2,0,0,0,19,,,,,,
2024-12-18,BUN BIG MAC,18586.08,2,0,0,0,129,,,,,,
2024-12-19,BUN BIG MAC,21454.51,3,0,0,1,146,,,,,,
2024-12-19,BUN GOURMET,21454.51,3,0,0,1,29,,,,,,
2024-12-19,BUN 4 INCH,21454.51,3,0,0,1,307,,,,,,
2024-12-19,MUFFIN ENGLISH,21454.51,3,0,0,1,-300,,,,,,
2024-12-19,BUN MCCRISPY,21454.51,3,0,0,1,49,,,,,,
2024-12-19,BUN REGULAR,21454.51,3,0,0,1,626,,,,,,
2024-12-20,BUN GOURMET,24549.65,4,0,0,1,45,,,,,,
2024-12-20,BUN BIG MAC,24549.65,4,0,0,1,172,,,,,,
2024-12-20,BUN REGULAR,24549.65,4,0,0,1,692,,,,,,
2024-12-20,BUN MCCRISPY,24549.65,4,0,0,1,44,,,,,,
2024-12-20,MUFFIN ENGLISH,24549.65,4,0,0,1,877,,,,,,
2024-12-20,BUN 4 INCH,24549.65,4,0,0,1,363,,,,,,
2024-12-21,MUFFIN ENGLISH,24122.95,5,1,0,1,360,,,,,,
2024-12-21,BUN MCCRISPY,24122.95,5,1,0,1,53,,,,,,
2024-12-21,BUN REGULAR,24122.95,5,1,0,1,613,,,,,,
2024-12-21,BUN 4 INCH,24122.95,5,1,0,1,346,,,,,,
2024-12-21,BUN GOURMET,24122.95,5,1,0,1,39,,,,,,
2024-12-21,BUN BIG MAC,24122.95,5,1,0,1,142,,,,,,
2024-12-22,BUN BIG MAC,19538.28,6,1,0,1,114,,,,,,
2024-12-22,BUN GOURMET,19538.28,6,1,0,1,30,,,,,,
2024-12-22,BUN 4 INCH,19538.28,6,1,0,1,277,,,,,,
2024-12-22,MUFFIN ENGLISH,19538.28,6,1,0,1,420,,,,,,
2024-12-22,BUN MCCRISPY,19538.28,6,1,0,1,23,,,,,,
2024-12-22,BUN REGULAR,19538.28,6,1,0,1,472,,,,,,
2024-12-23,BUN BIG MAC,20599.05,0,0,0,1,134,,,,,,
2024-12-23,BUN GOURMET,20599.05,0,0,0,1,21,,,,,,
2024-12-23,BUN 4 INCH,20599.05,0,0,0,1,325,,,,,,
2024-12-23,BUN MCCRISPY,20599.05,0,0,0,1,60,,,,,,
2024-12-23,MUFFIN ENGLISH,20599.05,0,0,0,1,176,,,,,,
2024-12-23,BUN REGULAR,20599.05,0,0,0,1,554,,,,,,
2024-12-24,MUFFIN ENGLISH,18661.23,1,0,0,1,294,,,,,,
2024-12-24,BUN MCCRISPY,18661.23,1,0,0,1,60,,,,,,
2024-12-24,BUN REGULAR,18661.23,1,0,0,1,481,,,,,,
2024-12-24,BUN 4 INCH,18661.23,1,0,0,1,292,,,,,,
2024-12-24,BUN GOURMET,18661.23,1,0,0,1,3,,,,,,
2024-12-24,BUN BIG MAC,18661.23,1,0,0,1,128,,,,,,
2024-12-25,BUN 4 INCH,16133.15,2,0,1,1,204,,,,,,
2024-12-25,BUN REGULAR,16133.15,2,0,1,1,341,,,,,,
2024-12-25,BUN GOURMET,16133.15,2,0,1,1,32,,,,,,
2024-12-25,MUFFIN ENGLISH,16133.15,2,0,1,1,180,,,,,,
2024-12-25,BUN MCCRISPY,16133.15,2,0,1,1,30,,,,,,
2024-12-25,BUN BIG MAC,16133.15,2,0,1,1,86,,,,,,
2024-12-26,BUN BIG MAC,15980.39,3,0,1,1,86,,,,,,
2024-12-26,BUN GOURMET,15980.39,3,0,1,1,32,,,,,,
2024-12-26,BUN 4 INCH,15980.39,3,0,1,1,204,,,,,,
